CardHolderID,Event_Date,Status
"218545978","4/12/2017","tardy"
"217102995","3/27/2017","tardy"
"218545978","3/16/2017","tardy"
"232702704","4/11/2017","tardy"
"215738816","4/11/2017","tardy"
"216901678","4/11/2017","tardy"
"215455122","4/11/2017","tardy"
"220389456","4/11/2017","tardy"
"214888349","4/11/2017","tardy"
"221181480","4/11/2017","tardy"
"220012637","4/11/2017","tardy"
"226730190","3/16/2017","tardy"
"216046821","4/11/2017","tardy"
"212804280","4/11/2017","tardy"
"242036549","3/16/2017","tardy"
"220202287","3/27/2017","tardy"
"221013758","3/27/2017","tardy"
"226730190","3/21/2017","tardy"
"223198193","3/21/2017","tardy"
"218545978","3/22/2017","tardy"
"220012579","3/22/2017","tardy"
"218621787","3/24/2017","tardy"
"216901678","3/15/2017","tardy"
"211722079","3/15/2017","tardy"
"220703003","3/27/2017","tardy"
"220214647","3/21/2017","tardy"
"211722079","3/21/2017","tardy"
"220814677","3/21/2017","tardy"
"226857217","3/21/2017","tardy"
"237002209","3/21/2017","tardy"
"224358028","3/21/2017","tardy"
"242942639","3/21/2017","tardy"
"226777548","3/21/2017","tardy"
"207052606","3/22/2017","tardy"
"216487223","3/22/2017","tardy"
"227688280","3/22/2017","tardy"
"217197698","3/22/2017","tardy"
"214842387","3/7/2017","tardy"
"214481558","4/12/2017","tardy"
"215009176","3/10/2017","tardy"
"218545978","4/7/2017","tardy"
"223331547","3/7/2017","tardy"
"218696326","3/6/2017","tardy"
"218696326","3/1/2017","tardy"
"201706009","3/6/2017","tardy"
"218696326","2/27/2017","tardy"
"206213316","2/27/2017","tardy"
"201706009","2/27/2017","tardy"
"220389456","3/17/2017","tardy"
"236959441","3/17/2017","tardy"
"219935822","3/17/2017","tardy"
"221855265","3/17/2017","tardy"
"218545978","3/17/2017","tardy"
"220801286","3/17/2017","tardy"
"213026750","3/17/2017","tardy"
"216241711","4/7/2017","tardy"
"216328336","4/7/2017","tardy"
"218512499","3/22/2017","tardy"
"220389456","3/15/2017","tardy"
"217102995","3/15/2017","tardy"
"224458307","3/15/2017","tardy"
"215455122","3/15/2017","tardy"
"227688280","3/15/2017","tardy"
"220801286","3/15/2017","tardy"
"219441607","3/17/2017","tardy"
"223124025","3/16/2017","tardy"
"220879779","3/16/2017","tardy"
"217531037","3/17/2017","tardy"
"221373053","3/16/2017","tardy"
"222552374","3/16/2017","tardy"
"219714201","3/16/2017","tardy"
"215455122","3/16/2017","tardy"
"216403600","3/16/2017","tardy"
"211989876","3/16/2017","tardy"
"220012579","3/16/2017","tardy"
"221373046","3/16/2017","tardy"
"223269705","3/17/2017","tardy"
"218688414","4/3/2017","tardy"
"212804280","4/3/2017","tardy"
"242036549","3/17/2017","tardy"
"237002233","3/17/2017","tardy"
"222552374","3/17/2017","tardy"
"218923126","3/17/2017","tardy"
"216564161","3/17/2017","tardy"
"209097179","3/17/2017","tardy"
"217008168","4/11/2017","tardy"
"221038375","4/11/2017","tardy"
"217060938","4/11/2017","tardy"
"215238999","4/11/2017","tardy"
"220301287","4/11/2017","tardy"
"218512499","3/17/2017","tardy"
"217327329","3/17/2017","tardy"
"216564161","4/12/2017","tardy"
"223276627","4/12/2017","tardy"
"220879779","3/22/2017","tardy"
"236958724","3/21/2017","tardy"
"217197847","4/12/2017","tardy"
"219714201","4/12/2017","tardy"
"216487819","4/12/2017","tardy"
"227189917","4/12/2017","tardy"
"218512499","3/21/2017","tardy"
"218621787","3/21/2017","tardy"
"213403314","3/27/2017","tardy"
"222521007","3/27/2017","tardy"
"222028235","3/27/2017","tardy"
"220389456","3/27/2017","tardy"
"237002209","3/27/2017","tardy"
"217865765","3/27/2017","tardy"
"220012637","3/27/2017","tardy"
"212804280","3/27/2017","tardy"
"220879779","3/27/2017","tardy"
"218621787","3/27/2017","tardy"
"220314793","3/22/2017","tardy"
"224358028","3/22/2017","tardy"
"218509479","3/22/2017","tardy"
"220395701","3/22/2017","tardy"
"220814677","3/22/2017","tardy"
"215238999","3/22/2017","tardy"
"222028235","3/21/2017","tardy"
"221855265","3/22/2017","tardy"
"216402826","3/21/2017","tardy"
"220214738","3/21/2017","tardy"
"221013758","3/21/2017","tardy"
"216144675","3/21/2017","tardy"
"213026750","3/22/2017","tardy"
"220346779","3/22/2017","tardy"
"237002233","3/21/2017","tardy"
"220328215","3/21/2017","tardy"
"218512499","3/24/2017","tardy"
"236959060","3/23/2017","tardy"
"223124025","3/23/2017","tardy"
"226730190","4/3/2017","tardy"
"222028235","4/3/2017","tardy"
"218621787","4/3/2017","tardy"
"205438062","4/12/2017","tardy"
"219714201","3/17/2017","tardy"
"221229073","4/12/2017","tardy"
"220879779","4/12/2017","tardy"
"219293461","3/17/2017","tardy"
"218512499","4/12/2017","tardy"
"217008168","3/24/2017","tardy"
"217197698","3/24/2017","tardy"
"226857217","3/24/2017","tardy"
"222028235","3/24/2017","tardy"
"219935822","3/24/2017","tardy"
"223124025","3/24/2017","tardy"
"221536113","3/17/2017","tardy"
"236959060","3/17/2017","tardy"
"215559154","3/17/2017","tardy"
"216328336","3/17/2017","tardy"
"220879779","3/17/2017","tardy"
"216102640","3/17/2017","tardy"
"220214738","3/17/2017","tardy"
"220274336","3/17/2017","tardy"
"223198193","3/17/2017","tardy"
"220257570","3/17/2017","tardy"
"214242224","3/15/2017","tardy"
"215987223","3/15/2017","tardy"
"222657470","3/15/2017","tardy"
"220012637","4/7/2017","tardy"
"217865765","3/24/2017","tardy"
"220149744","3/24/2017","tardy"
"217197698","4/7/2017","tardy"
"237164439","3/24/2017","tardy"
"215883398","4/7/2017","tardy"
"220389456","4/7/2017","tardy"
"221373046","4/7/2017","tardy"
"212804280","3/24/2017","tardy"
"221855265","3/24/2017","tardy"
"220314793","4/7/2017","tardy"
"219936788","4/11/2017","tardy"
"222822959","4/11/2017","tardy"
"222028235","4/11/2017","tardy"
"205438062","4/11/2017","tardy"
"220135701","4/11/2017","tardy"
"222656407","4/11/2017","tardy"
"216487447","4/11/2017","tardy"
"221013717","4/11/2017","tardy"
"215883398","4/11/2017","tardy"
"219714201","4/11/2017","tardy"
"217197698","4/12/2017","tardy"
"232702704","4/12/2017","tardy"
"216564161","3/16/2017","tardy"
"220389456","3/16/2017","tardy"
"237002209","4/12/2017","tardy"
"224358028","4/12/2017","tardy"
"224458307","3/27/2017","tardy"
"221013717","4/12/2017","tardy"
"214788507","3/27/2017","tardy"
"221142714","3/27/2017","tardy"
"216538280","3/27/2017","tardy"
"221373053","3/27/2017","tardy"
"226730190","3/27/2017","tardy"
"221373046","3/27/2017","tardy"
"214242224","3/16/2017","tardy"
"215675604","3/16/2017","tardy"
"219293461","3/22/2017","tardy"
"221142714","3/22/2017","tardy"
"226672145","3/22/2017","tardy"
"219592011","3/22/2017","tardy"
"216273300","3/22/2017","tardy"
"218621787","3/22/2017","tardy"
"216538280","3/22/2017","tardy"
"210187886","3/22/2017","tardy"
"214569832","3/21/2017","tardy"
"213686009","3/21/2017","tardy"
"222247652","3/21/2017","tardy"
"236959060","3/21/2017","tardy"
"220395701","3/21/2017","tardy"
"220012637","3/21/2017","tardy"
