ID,CardSourceID,CardHolderID,DateIn,ReportField1,ReportField2,DateOut,HoursWorked
4071,73,218696326,2/27/2017 10:38,,,NULL,0
4071,73,218696326,2/27/2017 10:38,,,NULL,0
4072,73,201706009,2/27/2017 10:39,,,NULL,0
4072,73,201706009,2/27/2017 10:39,,,NULL,0
4073,73,206213316,2/27/2017 10:44,,,NULL,0
4073,73,206213316,2/27/2017 10:44,,,NULL,0
4074,73,218696326,3/1/2017 11:17,,,NULL,0
4074,73,218696326,3/1/2017 11:17,,,NULL,0
4075,73,218696326,3/6/2017 14:51,,,NULL,0
4075,73,218696326,3/6/2017 14:51,,,NULL,0
4076,73,201706009,3/6/2017 15:16,,,NULL,0
4076,73,201706009,3/6/2017 15:16,,,NULL,0
4077,73,218696326,3/7/2017 9:54,,,NULL,0
4077,73,218696326,3/7/2017 9:54,,,NULL,0
4078,73,218696326,3/7/2017 9:57,,,NULL,0
4078,73,218696326,3/7/2017 9:57,,,NULL,0
4079,73,223331547,3/7/2017 10:12,,,NULL,0
4079,73,223331547,3/7/2017 10:12,,,NULL,0
4080,73,214842387,3/7/2017 10:13,,,NULL,0
4080,73,214842387,3/7/2017 10:13,,,NULL,0
4084,73,215009176,3/10/2017 16:00,,,NULL,0
4084,73,215009176,3/10/2017 16:00,,,NULL,0
4085,73,221855265,3/13/2017 9:07,,,3/13/2017 15:48,6.683
4085,73,221855265,3/13/2017 9:07,,,3/13/2017 15:48,6.683
4217,73,226884740,3/15/2017 8:34,,,3/15/2017 11:10,2.6
4217,73,226884740,3/15/2017 8:34,,,3/15/2017 11:10,2.6
4218,73,211722079,3/15/2017 8:34,,,NULL,0
4218,73,211722079,3/15/2017 8:34,,,NULL,0
4219,73,216901678,3/15/2017 8:36,,,NULL,0
4219,73,216901678,3/15/2017 8:36,,,NULL,0
4220,73,227688280,3/15/2017 8:36,,,NULL,0
4220,73,227688280,3/15/2017 8:36,,,NULL,0
4221,73,220879779,3/15/2017 8:36,,,3/15/2017 11:20,2.733
4221,73,220879779,3/15/2017 8:36,,,3/15/2017 11:20,2.733
4222,73,222656407,3/15/2017 9:07,,,3/15/2017 10:57,1.833
4222,73,222656407,3/15/2017 9:07,,,3/15/2017 10:57,1.833
4223,73,220801286,3/15/2017 9:11,,,NULL,0
4223,73,220801286,3/15/2017 9:11,,,NULL,0
4224,73,224458307,3/15/2017 9:11,,,NULL,0
4224,73,224458307,3/15/2017 9:11,,,NULL,0
4225,73,215455122,3/15/2017 9:12,,,NULL,0
4225,73,215455122,3/15/2017 9:12,,,NULL,0
4226,73,221253883,3/15/2017 9:14,,,3/15/2017 12:27,3.217
4226,73,221253883,3/15/2017 9:14,,,3/15/2017 12:27,3.217
4227,73,220012637,3/15/2017 9:16,,,3/15/2017 10:54,1.633
4227,73,220012637,3/15/2017 9:16,,,3/15/2017 10:54,1.633
4228,73,220389456,3/15/2017 9:18,,,NULL,0
4228,73,220389456,3/15/2017 9:18,,,NULL,0
4229,73,217102995,3/15/2017 9:18,,,NULL,0
4229,73,217102995,3/15/2017 9:18,,,NULL,0
4230,73,214842387,3/15/2017 9:22,,,3/15/2017 12:15,2.883
4230,73,214842387,3/15/2017 9:22,,,3/15/2017 12:15,2.883
4231,73,213403314,3/15/2017 9:24,,,3/15/2017 11:33,2.15
4231,73,213403314,3/15/2017 9:24,,,3/15/2017 11:33,2.15
4232,73,215987223,3/15/2017 9:28,,,NULL,0
4232,73,215987223,3/15/2017 9:28,,,NULL,0
4233,73,221373053,3/15/2017 9:31,,,3/15/2017 12:05,2.567
4233,73,221373053,3/15/2017 9:31,,,3/15/2017 12:05,2.567
4234,73,221373046,3/15/2017 9:32,,,3/15/2017 12:06,2.567
4234,73,221373046,3/15/2017 9:32,,,3/15/2017 12:06,2.567
4235,73,221855265,3/15/2017 9:32,,,3/15/2017 11:31,1.983
4235,73,221855265,3/15/2017 9:32,,,3/15/2017 11:31,1.983
4236,73,214242224,3/15/2017 9:33,,,NULL,0
4236,73,214242224,3/15/2017 9:33,,,NULL,0
4237,73,220378293,3/15/2017 9:43,,,3/15/2017 11:27,1.733
4237,73,220378293,3/15/2017 9:43,,,3/15/2017 11:27,1.733
4358,73,222537730,3/15/2017 12:33,,,NULL,0
4358,73,222537730,3/15/2017 12:33,,,NULL,0
4359,73,201706009,3/15/2017 12:33,,,NULL,0
4359,73,201706009,3/15/2017 12:33,,,NULL,0
4360,73,275281558,3/15/2017 12:33,,,NULL,0
4360,73,275281558,3/15/2017 12:33,,,NULL,0
4361,73,222657470,3/15/2017 12:33,,,NULL,0
4361,73,222657470,3/15/2017 12:33,,,NULL,0
4362,73,218116036,3/15/2017 12:34,,,NULL,0
4362,73,218116036,3/15/2017 12:34,,,NULL,0
4363,73,214313231,3/15/2017 12:34,,,NULL,0
4363,73,214313231,3/15/2017 12:34,,,NULL,0
4364,73,215675604,3/15/2017 12:35,,,NULL,0
4364,73,215675604,3/15/2017 12:35,,,NULL,0
4365,73,212915938,3/15/2017 12:35,,,NULL,0
4365,73,212915938,3/15/2017 12:35,,,NULL,0
4366,73,223241829,3/15/2017 12:35,,,NULL,0
4366,73,223241829,3/15/2017 12:35,,,NULL,0
4367,73,217182989,3/15/2017 12:36,,,NULL,0
4367,73,217182989,3/15/2017 12:36,,,NULL,0
4368,73,216564161,3/15/2017 12:38,,,NULL,0
4368,73,216564161,3/15/2017 12:38,,,NULL,0
4373,73,218545978,3/16/2017 8:54,,,NULL,0
4373,73,218545978,3/16/2017 8:54,,,NULL,0
4374,73,214242224,3/16/2017 8:54,,,NULL,0
4374,73,214242224,3/16/2017 8:54,,,NULL,0
4375,73,215675604,3/16/2017 8:54,,,NULL,0
4375,73,215675604,3/16/2017 8:54,,,NULL,0
4376,73,226730190,3/16/2017 8:55,,,NULL,0
4376,73,226730190,3/16/2017 8:55,,,NULL,0
4377,73,242036549,3/16/2017 8:55,,,NULL,0
4377,73,242036549,3/16/2017 8:55,,,NULL,0
4378,73,216564161,3/16/2017 9:00,,,NULL,0
4378,73,216564161,3/16/2017 9:00,,,NULL,0
4379,73,220389456,3/16/2017 9:00,,,NULL,0
4379,73,220389456,3/16/2017 9:00,,,NULL,0
4380,73,215455122,3/16/2017 9:01,,,NULL,0
4380,73,215455122,3/16/2017 9:01,,,NULL,0
4381,73,219714201,3/16/2017 9:01,,,NULL,0
4381,73,219714201,3/16/2017 9:01,,,NULL,0
4382,73,222552374,3/16/2017 9:02,,,NULL,0
4382,73,222552374,3/16/2017 9:02,,,NULL,0
4383,73,221373053,3/16/2017 9:03,,,NULL,0
4383,73,221373053,3/16/2017 9:03,,,NULL,0
4384,73,221373046,3/16/2017 9:03,,,NULL,0
4384,73,221373046,3/16/2017 9:03,,,NULL,0
4385,73,220012579,3/16/2017 9:05,,,NULL,0
4385,73,220012579,3/16/2017 9:05,,,NULL,0
4386,73,211989876,3/16/2017 9:07,,,NULL,0
4386,73,211989876,3/16/2017 9:07,,,NULL,0
4387,73,216403600,3/16/2017 9:07,,,NULL,0
4387,73,216403600,3/16/2017 9:07,,,NULL,0
4388,73,220879779,3/16/2017 9:08,,,NULL,0
4388,73,220879779,3/16/2017 9:08,,,NULL,0
4389,73,223124025,3/16/2017 9:08,,,NULL,0
4389,73,223124025,3/16/2017 9:08,,,NULL,0
4390,73,220117584,3/16/2017 9:27,,,NULL,0
4390,73,220117584,3/16/2017 9:27,,,NULL,0
4391,73,220117584,3/16/2017 9:28,,,NULL,0
4391,73,220117584,3/16/2017 9:28,,,NULL,0
4392,73,220370043,3/16/2017 9:29,,,NULL,0
4392,73,220370043,3/16/2017 9:29,,,NULL,0
4393,73,221461676,3/16/2017 9:31,,,NULL,0
4393,73,221461676,3/16/2017 9:31,,,NULL,0
4394,73,214481558,3/16/2017 9:42,,,NULL,0
4394,73,214481558,3/16/2017 9:42,,,NULL,0
4395,73,212804280,3/16/2017 9:43,,,NULL,0
4395,73,212804280,3/16/2017 9:43,,,NULL,0
4566,73,216453183,3/17/2017 8:33,,,NULL,0
4566,73,216453183,3/17/2017 8:33,,,NULL,0
4567,73,220814677,3/17/2017 8:34,,,NULL,0
4567,73,220814677,3/17/2017 8:34,,,NULL,0
4568,73,222588857,3/17/2017 8:34,,,NULL,0
4568,73,222588857,3/17/2017 8:34,,,NULL,0
4570,73,221536113,3/17/2017 8:34,,,3/23/2017 15:33,150.983
4570,73,221536113,3/17/2017 8:34,,,3/23/2017 15:33,150.983
4569,73,222028235,3/17/2017 8:34,,,NULL,0
4569,73,222028235,3/17/2017 8:34,,,NULL,0
4571,73,236959060,3/17/2017 8:35,,,NULL,0
4571,73,236959060,3/17/2017 8:35,,,NULL,0
4572,73,215559154,3/17/2017 8:35,,,NULL,0
4572,73,215559154,3/17/2017 8:35,,,NULL,0
4573,73,216328336,3/17/2017 8:36,,,NULL,0
4573,73,216328336,3/17/2017 8:36,,,NULL,0
4574,73,220879779,3/17/2017 8:37,,,NULL,0
4574,73,220879779,3/17/2017 8:37,,,NULL,0
4575,73,216102640,3/17/2017 8:37,,,NULL,0
4575,73,216102640,3/17/2017 8:37,,,NULL,0
4576,73,220214738,3/17/2017 8:37,,,NULL,0
4576,73,220214738,3/17/2017 8:37,,,NULL,0
4577,73,220274336,3/17/2017 8:38,,,3/23/2017 15:40,151.033
4577,73,220274336,3/17/2017 8:38,,,3/23/2017 15:40,151.033
4579,73,220257570,3/17/2017 8:38,,,3/23/2017 15:58,151.333
4579,73,220257570,3/17/2017 8:38,,,3/23/2017 15:58,151.333
4578,73,223198193,3/17/2017 8:38,,,NULL,0
