CardHolderID,Date
"216863860","11/28/2016"
"222487142","2/15/2017"
"226857217","4/19/2017"
"220703003","1/10/2017"
"211722079","12/21/2016"
"219714201","1/23/2017"
"222602104","11/17/2016"
"236958724","12/14/2016"
"221775752","5/22/2017"
"236052197","12/14/2016"
"221775752","3/30/2017"
"219305992","1/23/2017"
"223371634","12/1/2016"
"220328215","11/10/2016"
"222602104","2/8/2017"
"216901678","3/2/2017"
"217865765","11/17/2016"
"218611424","4/4/2017"
"208659789","3/31/2017"
"226857217","5/23/2017"
"220045421","11/28/2016"
"226857217","12/9/2016"
"218611424","4/5/2017"
"221229073","1/23/2017"
"226857217","5/22/2017"
"222487142","12/15/2016"
"222487142","12/1/2016"
"216061812","1/12/2017"
"223269341","10/20/2016"
"221214497","1/13/2017"
"211722079","3/29/2017"
"218932424","2/14/2017"
"236959060","1/13/2017"
"218844272","12/15/2016"
"226857217","5/12/2017"
"222742785","11/18/2016"
"223133802","11/14/2016"
"220076152","12/8/2016"
"209097179","3/22/2017"
"234048551","11/30/2016"
"214330821","12/5/2016"
"220306765","1/13/2017"
"232702704","1/4/2017"
"222602104","4/4/2017"
"213026750","1/11/2017"
"216423962","12/16/2016"
"226672145","11/10/2016"
"218932424","11/17/2016"
"216241711","1/19/2017"
"220360051","11/28/2016"
"211722079","3/23/2017"
"221185960","1/23/2017"
"226857217","12/5/2016"
"220711154","2/16/2017"
"218611424","11/18/2016"
"223133802","2/2/2017"
"217197987","4/4/2017"
"234681138","12/5/2016"
"223269341","12/8/2016"
"220306765","1/10/2017"
"220135701","5/22/2017"
"214842387","1/23/2017"
"216423962","2/15/2017"
"206213316","10/21/2016"
"219499043","3/2/2017"
"222602104","2/10/2017"
"227169133","2/10/2017"
"221142714","11/10/2016"
"219936788","1/4/2017"
"237076831","10/4/2016"
"221775752","5/5/2017"
"242792836","4/4/2017"
"222966491","12/15/2016"
"223125550","12/5/2016"
"214330821","12/21/2016"
"219589413","11/18/2016"
"219567153","1/13/2017"
"225766187","10/18/2016"
"216273300","12/15/2016"
"240758177","5/10/2017"
"220360051","10/3/2016"
"219305992","12/15/2016"
"221855265","1/13/2017"
"220360051","10/6/2016"
"222581233","3/31/2017"
"220301287","1/10/2017"
"221461676","1/19/2017"
"216486993","12/19/2016"
"220301287","1/13/2017"
"242036549","1/19/2017"
"220711154","1/19/2017"
"216273300","12/19/2016"
"211722079","12/20/2016"
"220076152","11/17/2016"
"214842387","1/9/2017"
"201706009","1/12/2017"
"216487447","3/2/2017"
"219634813","1/13/2017"
"218923126","5/11/2017"
"222656407","4/5/2017"
"220389456","11/17/2016"
"217182989","12/15/2016"
"223269341","12/6/2016"
"220317283","5/22/2017"
"220246292","11/28/2016"
"232145151","9/23/2016"
"223371634","12/7/2016"
"224357764","12/8/2016"
"226857217","5/4/2017"
"214842387","1/10/2017"
"223497041","11/28/2016"
"225766187","10/5/2016"
"216273300","5/10/2017"
"214842387","1/11/2017"
"226857217","12/7/2016"
"220135701","4/20/2017"
"220076152","2/8/2017"
"219936788","12/15/2016"
"220632111","4/3/2017"
"236959060","1/10/2017"
"216440479","12/5/2016"
"234048551","12/1/2016"
"214330821","12/15/2016"
"223497041","11/18/2016"
"214712432","1/23/2017"
"227169133","12/8/2016"
"219499043","3/1/2017"
"219936788","12/16/2016"
"221261506","10/3/2016"
"216487223","12/16/2016"
"222487142","11/17/2016"
"223136482","12/8/2016"
"214508384","3/2/2017"
"234048551","11/15/2016"
"222467359","5/5/2017"
"215883398","3/1/2017"
"216273300","12/20/2016"
"219592011","12/14/2016"
"223323965","11/16/2016"
"218923126","1/24/2017"
"237076831","10/5/2016"
"226857217","4/21/2017"
"220711154","2/15/2017"
"219592011","1/23/2017"
"225766187","9/15/2016"
"221185960","12/14/2016"
"222602104","12/1/2016"
"226857217","5/11/2017"
"213026750","1/9/2017"
"222487142","4/4/2017"
"222700791","9/23/2016"
"214330821","12/22/2016"
"220632111","4/5/2017"
"222822959","4/4/2017"
"214842387","1/17/2017"
"221775752","4/4/2017"
"221775752","4/27/2017"
"220076152","4/4/2017"
"220703003","1/12/2017"
