ID,CardSourceID,CardHolderID,DateIn,InTime,ReportField1,ReportField2,DateOut,OutTime,HoursWorked
4941,73,220814677,3/22/2017,8:46,,,NULL,NULL,0
4940,73,215238999,3/22/2017,8:45,,,3/23/2017,15:56,31.183
4828,73,222028235,3/21/2017,8:43,,,NULL,NULL,0
4942,73,221855265,3/22/2017,8:53,,,NULL,NULL,0
4826,73,216402826,3/21/2017,8:41,,,NULL,NULL,0
4827,73,220214738,3/21/2017,8:42,,,NULL,NULL,0
4824,73,221013758,3/21/2017,8:40,,,NULL,NULL,0
4825,73,216144675,3/21/2017,8:41,,,3/23/2017,15:38,54.95
4949,73,213026750,3/22/2017,8:57,,,NULL,NULL,0
4948,73,220346779,3/22/2017,8:57,,,NULL,NULL,0
4820,73,237002233,3/21/2017,8:39,,,NULL,NULL,0
4821,73,220328215,3/21/2017,8:40,,,NULL,NULL,0
6987,73,220703003,NULL,NULL,,,4/6/2017,15:43,0
4320,73,214926875,NULL,NULL,,,3/15/2017,12:11,0
6985,73,226857217,NULL,NULL,,,4/6/2017,15:43,0
6984,73,220126635,NULL,NULL,,,4/6/2017,15:43,0
5437,73,218512499,3/24/2017,8:49,,,NULL,NULL,0
6983,73,221373053,NULL,NULL,,,4/6/2017,15:42,0
6982,73,219935822,NULL,NULL,,,4/6/2017,15:42,0
5108,73,217865765,3/23/2017,8:38,,,3/23/2017,15:48,7.167
5109,73,221373053,3/23/2017,8:38,,,3/23/2017,15:43,7.083
6981,73,219759081,NULL,NULL,,,4/6/2017,15:42,0
5102,73,236959060,3/23/2017,8:33,,,NULL,NULL,0
5103,73,216538280,3/23/2017,8:33,,,3/23/2017,15:39,7.1
5100,73,222028235,3/23/2017,8:32,,,3/23/2017,15:35,7.05
5101,73,221142714,3/23/2017,8:32,,,3/23/2017,15:37,7.083
5106,73,218512499,3/23/2017,8:36,,,3/23/2017,15:33,6.95
5107,73,216273300,3/23/2017,8:37,,,3/23/2017,15:27,6.833
5104,73,220102644,3/23/2017,8:36,,,3/23/2017,15:58,7.367
5105,73,223124025,3/23/2017,8:36,,,NULL,NULL,0
6996,73,218924942,NULL,NULL,,,4/6/2017,15:44,0
6217,73,226730190,4/3/2017,8:35,,,NULL,NULL,0
6219,73,222028235,4/3/2017,8:36,,,4/6/2017,15:55,79.317
6218,73,218621787,4/3/2017,8:35,,,NULL,NULL,0
7496,73,205438062,4/12/2017,8:41,,,NULL,NULL,0
4590,73,219714201,3/17/2017,8:41,,,NULL,NULL,0
4167,73,220149744,NULL,NULL,,,3/13/2017,15:49,0
4166,73,213403314,NULL,NULL,,,3/13/2017,15:49,0
4165,73,219592011,NULL,NULL,,,3/13/2017,15:49,0
4164,73,221273410,NULL,NULL,,,3/13/2017,15:49,0
4163,73,220214738,NULL,NULL,,,3/13/2017,15:49,0
7497,73,221229073,4/12/2017,8:50,,,NULL,NULL,0
4161,73,216046821,NULL,NULL,,,3/13/2017,15:49,0
4160,73,215453226,NULL,NULL,,,3/13/2017,15:48,0
6994,73,222467359,NULL,NULL,,,4/6/2017,15:44,0
4169,73,220368674,NULL,NULL,,,3/13/2017,15:49,0
4168,73,235383247,NULL,NULL,,,3/13/2017,15:49,0
7494,73,220879779,4/12/2017,8:40,,,NULL,NULL,0
6995,73,224458307,NULL,NULL,,,4/6/2017,15:44,0
4596,73,219293461,3/17/2017,8:44,,,NULL,NULL,0
4280,73,240438788,NULL,NULL,,,3/15/2017,11:24,0
4281,73,226879203,NULL,NULL,,,3/15/2017,11:24,0
4287,73,217865765,NULL,NULL,,,3/15/2017,11:27,0
5362,73,206591950,NULL,NULL,,,3/23/2017,15:31,0
7495,73,218512499,4/12/2017,8:40,,,NULL,NULL,0
