"910","209097179","3/23/2017","In Attendance","209097179|3/23/2017"
"911","209097179","3/24/2017","Excused Absence","209097179|3/24/2017"
"941","209097179","5/5/2017","Unexcused Absence","209097179|5/5/2017"
"943","209097179","5/10/2017","Unexcused Absence","209097179|5/10/2017"
"944","209097179","5/11/2017","Unexcused Absence","209097179|5/11/2017"
"946","209097179","1/19/2017","In Attendance","209097179|1/19/2017"
"948","209097179","1/23/2017","Unexcused Absence","209097179|1/23/2017"
"15722","209097179","1/24/2017","Tardy","209097179|1/24/2017"
"15723","209097179","1/24/2017","Tardy","209097179|1/24/2017"
"36895","209097179","3/31/2017","Tardy","209097179|3/31/2017"
"36896","209097179","3/31/2017","Tardy","209097179|3/31/2017"
"52526","209097179","5/9/2017","Tardy","209097179|5/9/2017"
"991","209245166","1/4/2017","In Attendance","209245166|1/4/2017"
"1089","209245166","12/15/2016","In Attendance","209245166|12/15/2016"
"1090","209245166","12/16/2016","In Attendance","209245166|12/16/2016"
"1091","209245166","12/19/2016","In Attendance","209245166|12/19/2016"
"1092","209245166","12/20/2016","In Attendance","209245166|12/20/2016"
"1093","209245166","12/21/2016","In Attendance","209245166|12/21/2016"
"1094","209245166","12/22/2016","In Attendance","209245166|12/22/2016"
"1095","209245166","1/4/2017","In Attendance","209245166|1/4/2017"
"1096","209245166","12/15/2016","In Attendance","209245166|12/15/2016"
"1097","209245166","12/16/2016","In Attendance","209245166|12/16/2016"
"1098","209245166","12/19/2016","In Attendance","209245166|12/19/2016"
"1099","209245166","12/20/2016","In Attendance","209245166|12/20/2016"
"1100","209245166","12/21/2016","In Attendance","209245166|12/21/2016"
"1101","209245166","12/22/2016","In Attendance","209245166|12/22/2016"
"1125","209862077","10/20/2016","In Attendance","209862077|10/20/2016"
"1126","209862077","10/21/2016","In Attendance","209862077|10/21/2016"
"1153","209862077","10/20/2016","In Attendance","209862077|10/20/2016"
"1154","209862077","10/21/2016","In Attendance","209862077|10/21/2016"
"1244","209862085","12/5/2016","Unexcused Absence","209862085|12/5/2016"
"1245","209862085","12/9/2016","In Attendance","209862085|12/9/2016"
"1361","209862085","12/9/2016","In Attendance","209862085|12/9/2016"
"6957","209862085","12/5/2016","Tardy","209862085|12/5/2016"
"1439","209886068","3/1/2017","In Attendance","209886068|3/1/2017"
"1440","209886068","3/2/2017","In Attendance","209886068|3/2/2017"
"1442","209886068","3/6/2017","In Attendance","209886068|3/6/2017"
"1443","209886068","3/7/2017","In Attendance","209886068|3/7/2017"
"1474","209886068","3/1/2017","In Attendance","209886068|3/1/2017"
"1475","209886068","3/2/2017","In Attendance","209886068|3/2/2017"
"1476","209886068","3/6/2017","In Attendance","209886068|3/6/2017"
"1477","209886068","3/7/2017","In Attendance","209886068|3/7/2017"
"1572","210187886","12/15/2016","In Attendance","210187886|12/15/2016"
"1573","210187886","12/16/2016","Unexcused Absence","210187886|12/16/2016"
"1574","210187886","12/19/2016","In Attendance","210187886|12/19/2016"
"1575","210187886","12/20/2016","In Attendance","210187886|12/20/2016"
"1576","210187886","12/21/2016","In Attendance","210187886|12/21/2016"
"1577","210187886","12/22/2016","Unexcused Absence","210187886|12/22/2016"
"1578","210187886","1/4/2017","In Attendance","210187886|1/4/2017"
"1579","210187886","1/4/2017","In Attendance","210187886|1/4/2017"
"1623","210187886","12/15/2016","In Attendance","210187886|12/15/2016"
"1625","210187886","12/19/2016","In Attendance","210187886|12/19/2016"
"1626","210187886","12/20/2016","In Attendance","210187886|12/20/2016"
"1627","210187886","12/21/2016","In Attendance","210187886|12/21/2016"
"1628","210187886","12/22/2016","Unexcused Absence","210187886|12/22/2016"
"10388","210187886","12/16/2016","Tardy","210187886|12/16/2016"
"1699","210293981","1/4/2017","In Attendance","210293981|1/4/2017"
"1740","210293981","1/4/2017","In Attendance","210293981|1/4/2017"
"1753","210293981","1/23/2017","In Attendance","210293981|1/23/2017"
"1754","210293981","1/24/2017","In Attendance","210293981|1/24/2017"
"1786","210293981","1/23/2017","In Attendance","210293981|1/23/2017"
"1787","210293981","1/24/2017","In Attendance","210293981|1/24/2017"
"1790","211722079","3/21/2017","In Attendance","211722079|3/21/2017"
"1791","211722079","3/22/2017","In Attendance","211722079|3/22/2017"
"1792","211722079","3/23/2017","In Attendance","211722079|3/23/2017"
"1793","211722079","3/24/2017","Excused Absence","211722079|3/24/2017"
"1795","211722079","3/28/2017","Excused Absence","211722079|3/28/2017"
"1796","211722079","3/29/2017","Excused Absence","211722079|3/29/2017"
"1797","211722079","3/30/2017","Excused Absence","211722079|3/30/2017"
"1798","211722079","3/31/2017","Excused Absence","211722079|3/31/2017"
"1805","211722079","1/19/2017","In Attendance","211722079|1/19/2017"
"1806","211722079","1/23/2017","In Attendance","211722079|1/23/2017"
"1807","211722079","1/24/2017","Unexcused Absence","211722079|1/24/2017"
"1838","211722079","3/22/2017","In Attendance","211722079|3/22/2017"
"1840","211722079","3/24/2017","In Attendance","211722079|3/24/2017"
"1841","211722079","3/28/2017","In Attendance","211722079|3/28/2017"
"1842","211722079","3/29/2017","In Attendance","211722079|3/29/2017"
"1843","211722079","3/30/2017","In Attendance","211722079|3/30/2017"
"1844","211722079","3/31/2017","In Attendance","211722079|3/31/2017"
"1845","211722079","1/4/2017","In Attendance","211722079|1/4/2017"
"1902","211722079","12/15/2016","In Attendance","211722079|12/15/2016"
"1903","211722079","12/16/2016","In Attendance","211722079|12/16/2016"
