"96","205438062","3/3/2017","Unexcused Absence","205438062|3/3/2017"
"97","215366907","9/13/2016","Tardy","215366907|9/13/2016"
"98","219056090","9/13/2016","Tardy","219056090|9/13/2016"
"99","220076152","9/13/2016","Tardy","220076152|9/13/2016"
"101","205438062","3/10/2017","Unexcused Absence","205438062|3/10/2017"
"102","221181464","9/13/2016","Tardy","221181464|9/13/2016"
"103","205438062","3/15/2017","Unexcused Absence","205438062|3/15/2017"
"104","222487142","9/13/2016","Tardy","222487142|9/13/2016"
"105","205438062","3/17/2017","Unexcused Absence","205438062|3/17/2017"
"106","205438062","3/21/2017","In Attendance","205438062|3/21/2017"
"107","222602104","9/13/2016","Tardy","222602104|9/13/2016"
"108","219056090","9/14/2016","Tardy","219056090|9/14/2016"
"109","221394521","9/14/2016","Tardy","221394521|9/14/2016"
"110","234896496","9/14/2016","Tardy","234896496|9/14/2016"
"111","205438062","3/28/2017","In Attendance","205438062|3/28/2017"
"112","209862077","9/15/2016","Tardy","209862077|9/15/2016"
"113","219051869","9/15/2016","Tardy","219051869|9/15/2016"
"114","205438062","3/31/2017","In Attendance","205438062|3/31/2017"
"115","220190565","9/15/2016","Tardy","220190565|9/15/2016"
"116","221394521","9/15/2016","Tardy","221394521|9/15/2016"
"117","205438062","4/5/2017","In Attendance","205438062|4/5/2017"
"118","222487142","9/15/2016","Tardy","222487142|9/15/2016"
"119","205438062","4/7/2017","In Attendance","205438062|4/7/2017"
"120","222602104","9/15/2016","Tardy","222602104|9/15/2016"
"121","234192482","9/15/2016","Tardy","234192482|9/15/2016"
"122","205438062","4/13/2017","In Attendance","205438062|4/13/2017"
"123","205438062","4/18/2017","In Attendance","205438062|4/18/2017"
"124","205438062","4/19/2017","In Attendance","205438062|4/19/2017"
"125","234048551","9/15/2016","Tardy","234048551|9/15/2016"
"126","205438062","4/21/2017","In Attendance","205438062|4/21/2017"
"127","205438062","4/22/2017","In Attendance","205438062|4/22/2017"
"128","206213316","9/16/2016","Tardy","206213316|9/16/2016"
"130","221394521","9/16/2016","Tardy","221394521|9/16/2016"
"131","205438062","4/27/2017","In Attendance","205438062|4/27/2017"
"132","205438062","4/28/2017","In Attendance","205438062|4/28/2017"
"133","205438062","5/1/2017","In Attendance","205438062|5/1/2017"
"134","205438062","5/2/2017","In Attendance","205438062|5/2/2017"
"135","205438062","5/3/2017","In Attendance","205438062|5/3/2017"
"136","221398134","9/16/2016","Tardy","221398134|9/16/2016"
"137","222487142","9/16/2016","Tardy","222487142|9/16/2016"
"138","222966491","9/16/2016","Tardy","222966491|9/16/2016"
"139","205438062","5/9/2017","In Attendance","205438062|5/9/2017"
"140","224357764","9/16/2016","Tardy","224357764|9/16/2016"
"141","228040580","9/16/2016","Tardy","228040580|9/16/2016"
"142","205438062","5/12/2017","In Attendance","205438062|5/12/2017"
"143","205438062","5/22/2017","Unexcused Absence","205438062|5/22/2017"
"144","205438062","5/23/2017","In Attendance","205438062|5/23/2017"
"145","205438062","5/24/2017","In Attendance","205438062|5/24/2017"
"152","206213316","1/10/2017","In Attendance","206213316|1/10/2017"
"153","206213316","1/12/2017","In Attendance","206213316|1/12/2017"
"155","206213316","1/17/2017","Unexcused Absence","206213316|1/17/2017"
"156","211989876","9/20/2016","Tardy","211989876|9/20/2016"
"157","206213316","1/19/2017","Unexcused Absence","206213316|1/19/2017"
"158","214751406","9/20/2016","Tardy","214751406|9/20/2016"
"159","206213316","1/24/2017","In Attendance","206213316|1/24/2017"
"160","206213316","1/25/2017","In Attendance","206213316|1/25/2017"
"161","206213316","1/26/2017","Unexcused Absence","206213316|1/26/2017"
"162","206213316","1/27/2017","Unexcused Absence","206213316|1/27/2017"
"163","206213316","1/30/2017","In Attendance","206213316|1/30/2017"
"164","206213316","1/31/2017","In Attendance","206213316|1/31/2017"
"165","206213316","2/1/2017","Unexcused Absence","206213316|2/1/2017"
"166","220076152","9/20/2016","Tardy","220076152|9/20/2016"
"167","222602104","9/20/2016","Tardy","222602104|9/20/2016"
"168","222966491","9/20/2016","Tardy","222966491|9/20/2016"
"169","219911674","9/20/2016","Tardy","219911674|9/20/2016"
"170","234048551","9/20/2016","Tardy","234048551|9/20/2016"
"171","206213316","9/21/2016","Tardy","206213316|9/21/2016"
"172","206213316","2/13/2017","In Attendance","206213316|2/13/2017"
"173","206213316","2/14/2017","In Attendance","206213316|2/14/2017"
"174","206213316","2/15/2017","In Attendance","206213316|2/15/2017"
"175","206213316","2/16/2017","In Attendance","206213316|2/16/2017"
"176","206213316","2/17/2017","In Attendance","206213316|2/17/2017"
"177","206213316","2/28/2017","In Attendance","206213316|2/28/2017"
"178","206213316","3/1/2017","In Attendance","206213316|3/1/2017"
"179","206213316","3/2/2017","In Attendance","206213316|3/2/2017"
"180","206213316","3/3/2017","In Attendance","206213316|3/3/2017"
"181","206213316","3/6/2017","In Attendance","206213316|3/6/2017"
"182","206213316","3/7/2017","In Attendance","206213316|3/7/2017"
"183","206213316","3/8/2017","In Attendance","206213316|3/8/2017"
"184","206213316","3/9/2017","In Attendance","206213316|3/9/2017"
"185","206213316","3/10/2017","In Attendance","206213316|3/10/2017"
"186","211989876","9/21/2016","Tardy","211989876|9/21/2016"
"187","206213316","3/15/2017","In Attendance","206213316|3/15/2017"
"188","206213316","3/16/2017","In Attendance","206213316|3/16/2017"
"189","206213316","3/17/2017","In Attendance","206213316|3/17/2017"
"190","206213316","3/27/2017","In Attendance","206213316|3/27/2017"
"191","206213316","3/29/2017","In Attendance","206213316|3/29/2017"
"192","206213316","3/31/2017","In Attendance","206213316|3/31/2017"
"193","206213316","4/3/2017","Unexcused Absence","206213316|4/3/2017"
"194","206213316","4/4/2017","In Attendance","206213316|4/4/2017"
"195","206213316","4/5/2017","In Attendance","206213316|4/5/2017"
"196","206213316","4/6/2017","In Attendance","206213316|4/6/2017"
"197","206213316","4/7/2017","In Attendance","206213316|4/7/2017"
"198","206213316","4/11/2017","In Attendance","206213316|4/11/2017"
"199","206213316","4/12/2017","In Attendance","206213316|4/12/2017"
"200","206213316","4/13/2017","In Attendance","206213316|4/13/2017"
"201","206213316","4/18/2017","Unexcused Absence","206213316|4/18/2017"
"202","206213316","4/19/2017","In Attendance","206213316|4/19/2017"
"203","206213316","4/20/2017","In Attendance","206213316|4/20/2017"
"204","206213316","4/21/2017","In Attendance","206213316|4/21/2017"
"205","206213316","4/24/2017","In Attendance","206213316|4/24/2017"
"206","206213316","4/25/2017","In Attendance","206213316|4/25/2017"
"207","206213316","4/26/2017","Unexcused Absence","206213316|4/26/2017"
"208","215366907","9/21/2016","Tardy","215366907|9/21/2016"
"209","206213316","4/28/2017","In Attendance","206213316|4/28/2017"
"210","206213316","5/1/2017","In Attendance","206213316|5/1/2017"
"211","206213316","5/2/2017","In Attendance","206213316|5/2/2017"
"212","206213316","5/3/2017","In Attendance","206213316|5/3/2017"
"213","206213316","5/4/2017","In Attendance","206213316|5/4/2017"
"214","206213316","5/5/2017","In Attendance","206213316|5/5/2017"
"215","206213316","5/8/2017","In Attendance","206213316|5/8/2017"
"216","206213316","5/9/2017","In Attendance","206213316|5/9/2017"
"217","206213316","5/10/2017","In Attendance","206213316|5/10/2017"
"218","206213316","5/11/2017","In Attendance","206213316|5/11/2017"
"219","206213316","5/12/2017","Unexcused Absence","206213316|5/12/2017"
"220","206213316","5/22/2017","In Attendance","206213316|5/22/2017"
"221","206213316","5/23/2017","In Attendance","206213316|5/23/2017"
"222","206213316","5/24/2017","In Attendance","206213316|5/24/2017"
"223","206213316","9/14/2016","In Attendance","206213316|9/14/2016"
"224","206213316","9/15/2016","In Attendance","206213316|9/15/2016"
"225","220013163","9/21/2016","Tardy","220013163|9/21/2016"
"226","220076152","9/21/2016","Tardy","220076152|9/21/2016"
"227","206213316","9/22/2016","In Attendance","206213316|9/22/2016"
"228","221398134","9/21/2016","Tardy","221398134|9/21/2016"
"229","206213316","9/27/2016","Unexcused Absence","206213316|9/27/2016"
"230","206213316","9/28/2016","In Attendance","206213316|9/28/2016"
"231","206213316","9/29/2016","In Attendance","206213316|9/29/2016"
"232","206213316","9/30/2016","Unexcused Absence","206213316|9/30/2016"
"233","222602104","9/21/2016","Tardy","222602104|9/21/2016"
"234","228040580","9/21/2016","Tardy","228040580|9/21/2016"
"235","211989876","9/22/2016","Tardy","211989876|9/22/2016"
"236","206213316","10/6/2016","In Attendance","206213316|10/6/2016"
"237","206213316","10/7/2016","In Attendance","206213316|10/7/2016"
"238","206213316","10/11/2016","In Attendance","206213316|10/11/2016"
"239","206213316","10/12/2016","In Attendance","206213316|10/12/2016"
"240","206213316","10/13/2016","In Attendance","206213316|10/13/2016"
"241","206213316","10/14/2016","In Attendance","206213316|10/14/2016"
"242","220044564","9/22/2016","Tardy","220044564|9/22/2016"
"243","206213316","10/18/2016","In Attendance","206213316|10/18/2016"
"244","220076152","9/22/2016","Tardy","220076152|9/22/2016"
"246","220190565","9/22/2016","Tardy","220190565|9/22/2016"
"247","221398134","9/22/2016","Tardy","221398134|9/22/2016"
"248","206213316","10/25/2016","In Attendance","206213316|10/25/2016"
"249","206213316","10/26/2016","In Attendance","206213316|10/26/2016"
"250","206213316","10/27/2016","In Attendance","206213316|10/27/2016"
"251","206213316","10/28/2016","In Attendance","206213316|10/28/2016"
"252","206213316","10/31/2016","In Attendance","206213316|10/31/2016"
"253","206213316","11/1/2016","In Attendance","206213316|11/1/2016"
"254","206213316","11/2/2016","In Attendance","206213316|11/2/2016"
"255","206213316","11/3/2016","In Attendance","206213316|11/3/2016"
"256","222602104","9/22/2016","Tardy","222602104|9/22/2016"
"257","221040041","9/22/2016","Tardy","221040041|9/22/2016"
"258","206213316","11/8/2016","Unexcused Absence","206213316|11/8/2016"
"259","206213316","11/9/2016","In Attendance","206213316|11/9/2016"
"260","206213316","11/10/2016","In Attendance","206213316|11/10/2016"
"261","206213316","11/14/2016","In Attendance","206213316|11/14/2016"
"262","206213316","11/15/2016","In Attendance","206213316|11/15/2016"
"263","206213316","11/16/2016","In Attendance","206213316|11/16/2016"
"264","206213316","11/17/2016","In Attendance","206213316|11/17/2016"
"265","206213316","11/28/2016","In Attendance","206213316|11/28/2016"
"266","206213316","11/29/2016","In Attendance","206213316|11/29/2016"
"267","206213316","11/30/2016","Unexcused Absence","206213316|11/30/2016"
"268","206213316","12/1/2016","In Attendance","206213316|12/1/2016"
"269","206213316","9/23/2016","Tardy","206213316|9/23/2016"
"270","206213316","12/6/2016","In Attendance","206213316|12/6/2016"
"271","206213316","12/7/2016","In Attendance","206213316|12/7/2016"
"272","206213316","12/8/2016","In Attendance","206213316|12/8/2016"
"273","206213316","12/9/2016","In Attendance","206213316|12/9/2016"
"274","211989876","9/23/2016","Tardy","211989876|9/23/2016"
"275","206213316","12/13/2016","In Attendance","206213316|12/13/2016"
"276","206213316","12/14/2016","In Attendance","206213316|12/14/2016"
"277","206213316","12/15/2016","In Attendance","206213316|12/15/2016"
"278","206213316","12/19/2016","In Attendance","206213316|12/19/2016"
"279","206213316","12/20/2016","In Attendance","206213316|12/20/2016"
"280","216423962","9/23/2016","Tardy","216423962|9/23/2016"
"281","206213316","12/22/2016","In Attendance","206213316|12/22/2016"
"284","206591950","2/22/2017","In Attendance","206591950|2/22/2017"
"285","217531037","9/23/2016","Tardy","217531037|9/23/2016"
"286","206591950","2/24/2017","Unexcused Absence","206591950|2/24/2017"
"287","220012637","9/23/2016","Tardy","220012637|9/23/2016"
"288","220076152","9/23/2016","Tardy","220076152|9/23/2016"
"289","206591950","11/14/2016","Excused Absence","206591950|11/14/2016"
"290","206591950","11/15/2016","In Attendance","206591950|11/15/2016"
"291","206591950","11/16/2016","In Attendance","206591950|11/16/2016"
"292","206591950","11/17/2016","In Attendance","206591950|11/17/2016"
"293","206591950","11/18/2016","In Attendance","206591950|11/18/2016"
"294","206591950","11/28/2016","In Attendance","206591950|11/28/2016"
"295","206591950","11/29/2016","In Attendance","206591950|11/29/2016"
"296","206591950","11/30/2016","In Attendance","206591950|11/30/2016"
"297","206591950","12/1/2016","In Attendance","206591950|12/1/2016"
"298","206591950","12/2/2016","In Attendance","206591950|12/2/2016"
"299","206591950","12/5/2016","In Attendance","206591950|12/5/2016"
"300","220190565","9/23/2016","Tardy","220190565|9/23/2016"
"301","206591950","12/7/2016","In Attendance","206591950|12/7/2016"
"302","206591950","12/8/2016","In Attendance","206591950|12/8/2016"
"303","206591950","12/9/2016","In Attendance","206591950|12/9/2016"
"305","221398134","9/23/2016","Tardy","221398134|9/23/2016"
"306","206591950","12/14/2016","In Attendance","206591950|12/14/2016"
"307","206591950","12/15/2016","In Attendance","206591950|12/15/2016"
"308","206591950","12/16/2016","In Attendance","206591950|12/16/2016"
"309","206591950","12/19/2016","In Attendance","206591950|12/19/2016"
"310","206591950","12/20/2016","In Attendance","206591950|12/20/2016"
"311","206591950","12/21/2016","In Attendance","206591950|12/21/2016"
"312","206591950","12/22/2016","In Attendance","206591950|12/22/2016"
"313","206591950","1/4/2017","In Attendance","206591950|1/4/2017"
"314","206591950","1/5/2017","In Attendance","206591950|1/5/2017"
"315","206591950","1/9/2017","Unexcused Absence","206591950|1/9/2017"
"316","206591950","1/10/2017","Excused Absence","206591950|1/10/2017"
"317","206591950","1/11/2017","Excused Absence","206591950|1/11/2017"
"318","206591950","1/12/2017","In Attendance","206591950|1/12/2017"
"319","206591950","1/13/2017","In Attendance","206591950|1/13/2017"
"320","206591950","1/17/2017","In Attendance","206591950|1/17/2017"
"321","206591950","1/18/2017","In Attendance","206591950|1/18/2017"
"322","206591950","1/19/2017","In Attendance","206591950|1/19/2017"
"323","206591950","1/23/2017","In Attendance","206591950|1/23/2017"
"324","206591950","1/24/2017","In Attendance","206591950|1/24/2017"
"325","206591950","1/25/2017","In Attendance","206591950|1/25/2017"
"326","222602104","9/23/2016","Tardy","222602104|9/23/2016"
"327","206591950","1/27/2017","In Attendance","206591950|1/27/2017"
"328","206591950","1/30/2017","In Attendance","206591950|1/30/2017"
"329","206591950","1/31/2017","In Attendance","206591950|1/31/2017"
"330","206591950","2/1/2017","In Attendance","206591950|2/1/2017"
"331","206591950","2/2/2017","In Attendance","206591950|2/2/2017"
"332","206591950","2/3/2017","In Attendance","206591950|2/3/2017"
"333","222656407","9/23/2016","Tardy","222656407|9/23/2016"
"334","206591950","2/7/2017","In Attendance","206591950|2/7/2017"
"335","206591950","2/8/2017","In Attendance","206591950|2/8/2017"
"336","206591950","2/10/2017","In Attendance","206591950|2/10/2017"
"337","222966491","9/23/2016","Tardy","222966491|9/23/2016"
"338","228040580","9/23/2016","Tardy","228040580|9/23/2016"
"339","206591950","2/15/2017","In Attendance","206591950|2/15/2017"
