221181464,"5/8/2017","Present"
222700791,"5/8/2017","Present"
239934342,"5/8/2017","Present"
222689283,"5/8/2017","Present"
223686353,"5/8/2017","Present"
223893157,"5/8/2017","Present"
218619682,"5/8/2017","Present"
221191539,"5/8/2017","Present"
221069008,"5/8/2017","Present"
222701955,"5/8/2017","Present"
222755936,"5/8/2017","Present"
218737658,"5/8/2017","Present"
237076831,"5/8/2017","Present"
234192482,"5/8/2017","Present"
223081415,"5/8/2017","Present"
220089866,"5/8/2017","Present"
221277122,"5/8/2017","Present"
220981674,"5/8/2017","Present"
216758227,"5/8/2017","Present"
223497058,"5/8/2017","Present"
220926786,"5/8/2017","Present"
221414428,"5/8/2017","Present"
226873545,"5/8/2017","Present"
222966491,"5/8/2017","Present"
223131418,"5/8/2017","Present"
220471833,"5/8/2017","Present"
221261506,"5/8/2017","Present"
218661437,"5/8/2017","Present"
224357764,"5/8/2017","Present"
215641200,"5/8/2017","Present"
221040280,"5/8/2017","Present"
213442296,"5/8/2017","Present"
221398134,"5/8/2017","Present"
220453484,"5/8/2017","Present"
227194040,"5/8/2017","Present"
223269341,"5/8/2017","Present"
221775752,"5/8/2017","Present"
215599747,"5/8/2017","Present"
221582638,"5/8/2017","Present"
226723435,"5/8/2017","Present"
232145151,"5/8/2017","Present"
221277130,"5/8/2017","Present"
218611424,"5/8/2017","Present"
225266394,"5/8/2017","Present"
216055574,"5/8/2017","Present"
220796759,"5/8/2017","Present"
221375330,"5/8/2017","Present"
233632579,"5/8/2017","Present"
223136482,"5/8/2017","Present"
221895451,"5/8/2017","Present"
220045215,"5/8/2017","Present"
220076152,"5/8/2017","Present"
220360051,"5/8/2017","Present"
215366907,"5/8/2017","Present"
220254866,"5/8/2017","Present"
223233206,"5/8/2017","Present"
221773245,"5/8/2017","Present"
221228158,"5/8/2017","Present"
220045421,"5/8/2017","Present"
223323965,"5/8/2017","Present"
219056090,"5/8/2017","Present"
223137142,"5/8/2017","Present"
218844272,"5/5/2017","Present"
209862085,"5/5/2017","Present"
211989876,"5/5/2017","Present"
223081415,"5/5/2017","Present"
219756244,"5/5/2017","Present"
211986732,"5/5/2017","Present"
214291114,"5/5/2017","Present"
209862077,"5/5/2017","Present"
220013163,"5/5/2017","Present"
216727800,"5/5/2017","Present"
219327632,"5/5/2017","Present"
223497058,"5/5/2017","Present"
221414428,"5/5/2017","Present"
222288698,"5/5/2017","Present"
222279226,"5/5/2017","Present"
226873545,"5/5/2017","Present"
222966491,"5/5/2017","Present"
223131418,"5/5/2017","Present"
220471833,"5/5/2017","Present"
223125550,"5/5/2017","Present"
224357764,"5/5/2017","Present"
215641200,"5/5/2017","Present"
221040280,"5/5/2017","Present"
213442296,"5/5/2017","Present"
221398134,"5/5/2017","Present"
223269341,"5/5/2017","Present"
215599747,"5/5/2017","Present"
221582638,"5/5/2017","Present"
226723435,"5/5/2017","Present"
232145151,"5/5/2017","Present"
221277130,"5/5/2017","Present"
220875207,"5/5/2017","Present"
228040580,"5/5/2017","Present"
223497041,"5/5/2017","Present"
222893794,"5/5/2017","Present"
234896496,"5/5/2017","Present"
220792832,"5/5/2017","Present"
223063660,"5/5/2017","Present"
